api_id,api_name,major_category,subcategory,cli_group,cli_command,command_path,status,coverage_status,safety_policy,method,path,required_body_fields,required_header_fields,canonical_code_option,notes
ka10025,매물대집중요청,국내주식,종목정보,stocks,volume-zone,kiwoom stocks volume-zone,implemented,public,read,POST,/api/dostk/stkinfo,mrkt_tp;prps_cnctr_rt;cur_prc_entry;prpscnt;cycle_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10026,고저PER요청,국내주식,종목정보,stocks,valuation-rank,kiwoom stocks valuation-rank,implemented,public,read,POST,/api/dostk/stkinfo,pertp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10027,전일대비등락률상위요청,국내주식,순위정보,rankings,previous-change-rate,kiwoom rankings previous-change-rate,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;sort_tp;trde_qty_cnd;stk_cnd;crd_cnd;updown_incls;pric_cnd;trde_prica_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10028,시가대비등락률요청,국내주식,종목정보,stocks,open-change,kiwoom stocks open-change,implemented,public,read,POST,/api/dostk/stkinfo,sort_tp;trde_qty_cnd;mrkt_tp;updown_incls;stk_cnd;crd_cnd;trde_prica_cnd;flu_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10029,예상체결등락률상위요청,국내주식,순위정보,rankings,list-fills,kiwoom rankings list-fills,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;sort_tp;trde_qty_cnd;stk_cnd;crd_cnd;pric_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10030,당일거래량상위요청,국내주식,순위정보,rankings,today-volume,kiwoom rankings today-volume,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;sort_tp;mang_stk_incls;crd_tp;trde_qty_tp;pric_tp;trde_prica_tp;mrkt_open_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10031,전일거래량상위요청,국내주식,순위정보,rankings,previous-volume,kiwoom rankings previous-volume,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;qry_tp;rank_strt;rank_end;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10032,거래대금상위요청,국내주식,순위정보,rankings,amount,kiwoom rankings amount,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;mang_stk_incls;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10033,신용비율상위요청,국내주식,순위정보,rankings,credit-ratio,kiwoom rankings credit-ratio,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;trde_qty_tp;stk_cnd;updown_incls;crd_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10034,외인기간별매매상위요청,국내주식,순위정보,rankings,foreign-period-trades,kiwoom rankings foreign-period-trades,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;trde_tp;dt;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10035,외인연속순매매상위요청,국내주식,순위정보,rankings,foreign-continuous-net,kiwoom rankings foreign-continuous-net,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;trde_tp;base_dt_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10036,외인한도소진율증가상위,국내주식,순위정보,rankings,foreign-limit-usage,kiwoom rankings foreign-limit-usage,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;dt;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10037,외국계창구매매상위요청,국내주식,순위정보,rankings,foreign-broker-trades,kiwoom rankings foreign-broker-trades,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;dt;trde_tp;sort_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10038,종목별증권사순위요청,국내주식,순위정보,rankings,broker-by-stock,kiwoom rankings broker-by-stock,implemented,public,read,POST,/api/dostk/rkinfo,stk_cd;strt_dt;end_dt;qry_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10039,증권사별매매상위요청,국내주식,순위정보,rankings,broker-trades,kiwoom rankings broker-trades,implemented,public,read,POST,/api/dostk/rkinfo,mmcm_cd;trde_qty_tp;trde_tp;dt;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10040,당일주요거래원요청,국내주식,순위정보,rankings,stock-main-brokers,kiwoom rankings stock-main-brokers,implemented,public,read,POST,/api/dostk/rkinfo,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10042,순매수거래원순위요청,국내주식,순위정보,rankings,net-buy-brokers,kiwoom rankings net-buy-brokers,implemented,public,read,POST,/api/dostk/rkinfo,stk_cd;qry_dt_tp;pot_tp;sort_base,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10043,거래원매물대분석요청,국내주식,종목정보,stocks,broker-volume-zone,kiwoom stocks broker-volume-zone,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd;strt_dt;end_dt;qry_dt_tp;pot_tp;dt;sort_base;mmcm_cd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10044,일별기관매매종목요청,국내주식,시세,quotes,institution-daily,kiwoom quotes institution-daily,implemented,public,read,POST,/api/dostk/mrkcond,strt_dt;end_dt;trde_tp;mrkt_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10045,종목별기관매매추이요청,국내주식,시세,quotes,by-stock,kiwoom quotes by-stock,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd;strt_dt;end_dt;orgn_prsm_unp_tp;for_prsm_unp_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10046,체결강도추이시간별요청,국내주식,시세,quotes,strength-time,kiwoom quotes strength-time,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10047,체결강도추이일별요청,국내주식,시세,quotes,strength-daily,kiwoom quotes strength-daily,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10048,ELW일별민감도지표요청,국내주식,ELW,elws,daily,kiwoom elws daily,implemented,public,read,POST,/api/dostk/elw,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10050,ELW민감도지표요청,국내주식,ELW,elws,sensitivity,kiwoom elws sensitivity,implemented,public,read,POST,/api/dostk/elw,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public ELW command via explicit arguments.csv mapping.
ka10051,업종별투자자순매수요청,국내주식,업종,sectors,investor-flows,kiwoom sectors investor-flows,implemented,public,read,POST,/api/dostk/sect,mrkt_tp;amt_qty_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10052,거래원순간거래량요청,국내주식,종목정보,stocks,broker-instant-volume,kiwoom stocks broker-instant-volume,implemented,public,read,POST,/api/dostk/stkinfo,mmcm_cd;mrkt_tp;qty_tp;pric_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10053,당일상위이탈원요청,국내주식,순위정보,rankings,top-exit-brokers,kiwoom rankings top-exit-brokers,implemented,public,read,POST,/api/dostk/rkinfo,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10054,변동성완화장치발동종목요청,국내주식,종목정보,stocks,vi-triggered,kiwoom stocks vi-triggered,implemented,public,read,POST,/api/dostk/stkinfo,mrkt_tp;bf_mkrt_tp;motn_tp;skip_stk;trde_qty_tp;min_trde_qty;max_trde_qty;trde_prica_tp;min_trde_prica;max_trde_prica;motn_drc;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10055,당일전일체결량요청,국내주식,종목정보,stocks,today-previous-fills,kiwoom stocks today-previous-fills,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd;tdy_pred,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10058,투자자별일별매매종목요청,국내주식,종목정보,stocks,investor-daily,kiwoom stocks investor-daily,implemented,public,read,POST,/api/dostk/stkinfo,strt_dt;end_dt;trde_tp;mrkt_tp;invsr_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10059,종목별투자자기관별요청,국내주식,종목정보,stocks,investor-by-stock,kiwoom stocks investor-by-stock,implemented,public,read,POST,/api/dostk/stkinfo,dt;stk_cd;amt_qty_tp;trde_tp;unit_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10060,종목별투자자기관별차트요청,국내주식,차트,candles,by-stock,kiwoom candles by-stock,implemented,public,read,POST,/api/dostk/chart,dt;stk_cd;amt_qty_tp;trde_tp;unit_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10061,종목별투자자기관별합계요청,국내주식,종목정보,stocks,investor-by-stock-total,kiwoom stocks investor-by-stock-total,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd;strt_dt;end_dt;amt_qty_tp;trde_tp;unit_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10062,동일순매매순위요청,국내주식,순위정보,rankings,same-net-trades,kiwoom rankings same-net-trades,implemented,public,read,POST,/api/dostk/rkinfo,strt_dt;mrkt_tp;trde_tp;sort_cnd;unit_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10063,장중투자자별매매요청,국내주식,시세,quotes,investor-intraday,kiwoom quotes investor-intraday,implemented,public,read,POST,/api/dostk/mrkcond,mrkt_tp;amt_qty_tp;invsr;frgn_all;smtm_netprps_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10064,장중투자자별매매차트요청,국내주식,차트,candles,lookup,kiwoom candles lookup,implemented,public,read,POST,/api/dostk/chart,mrkt_tp;amt_qty_tp;trde_tp;stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10065,장중투자자별매매상위요청,국내주식,순위정보,rankings,investor-intraday,kiwoom rankings investor-intraday,implemented,public,read,POST,/api/dostk/rkinfo,trde_tp;mrkt_tp;orgn_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10066,장마감후투자자별매매요청,국내주식,시세,quotes,investor-after-close,kiwoom quotes investor-after-close,implemented,public,read,POST,/api/dostk/mrkcond,mrkt_tp;amt_qty_tp;trde_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10068,대차거래추이요청,국내주식,대차거래,securities-lending,trend,kiwoom securities-lending trend,implemented,public,read,POST,/api/dostk/slb,all_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10069,대차거래상위10종목요청,국내주식,대차거래,securities-lending,list,kiwoom securities-lending list,implemented,public,read,POST,/api/dostk/slb,strt_dt;mrkt_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10072,일자별종목별실현손익요청_일자,국내주식,계좌,accounts,realized-profit-stock-daily,kiwoom accounts realized-profit-stock-daily,implemented,guarded,account_read,POST,/api/dostk/acnt,strt_dt,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping with account_read redaction; overseas accounts remain TODO until overseas runtime is verified.
ka10073,일자별종목별실현손익요청_기간,국내주식,계좌,accounts,realized-profit-period-stock,kiwoom accounts realized-profit-period-stock,implemented,guarded,account_read,POST,/api/dostk/acnt,strt_dt;end_dt,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping with account_read redaction; overseas accounts remain TODO until overseas runtime is verified.
ka10074,일자별실현손익요청,국내주식,계좌,accounts,realized-profit-daily,kiwoom accounts realized-profit-daily,implemented,guarded,account_read,POST,/api/dostk/acnt,strt_dt;end_dt,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping with account_read redaction; overseas accounts remain TODO until overseas runtime is verified.
ka10075,미체결요청,국내주식,계좌,orders,list-open,kiwoom orders list-open,implemented,guarded,account_read,POST,/api/dostk/acnt,all_stk_tp;trde_tp;stex_tp,api-id;authorization,--account when account scoped; --code when instrument scoped,Implemented guarded order inquiry command via explicit arguments.csv mapping.
ka10076,체결요청,국내주식,계좌,orders,list-fills,kiwoom orders list-fills,implemented,guarded,account_read,POST,/api/dostk/acnt,qry_tp;sell_tp;stex_tp,api-id;authorization,--account when account scoped; --code when instrument scoped,Implemented guarded order inquiry command via explicit arguments.csv mapping.
ka10077,당일실현손익상세요청,국내주식,계좌,accounts,realized-profit-today-detail,kiwoom accounts realized-profit-today-detail,implemented,guarded,account_read,POST,/api/dostk/acnt,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping with account_read redaction; overseas accounts remain TODO until overseas runtime is verified.
ka10078,증권사별종목매매동향요청,국내주식,시세,quotes,broker-trend,kiwoom quotes broker-trend,implemented,public,read,POST,/api/dostk/mrkcond,mmcm_cd;stk_cd;strt_dt;end_dt,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10079,주식틱차트조회요청,국내주식,차트,candles,stock-tick,kiwoom candles stock-tick,implemented,public,read,POST,/api/dostk/chart,stk_cd;tic_scope;upd_stkpc_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public candle command via explicit arguments.csv mapping.
ka10080,주식분봉차트조회요청,국내주식,차트,candles,stock-minute,kiwoom candles stock-minute,implemented,public,read,POST,/api/dostk/chart,stk_cd;tic_scope;upd_stkpc_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public candle command via explicit arguments.csv mapping.
ka10081,주식일봉차트조회요청,국내주식,차트,candles,daily,kiwoom candles daily,implemented,public,read,POST,/api/dostk/chart,stk_cd;base_dt;upd_stkpc_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public read command; --code maps to stk_cd
ka10082,주식주봉차트조회요청,국내주식,차트,candles,stock-weekly,kiwoom candles stock-weekly,implemented,public,read,POST,/api/dostk/chart,stk_cd;base_dt;upd_stkpc_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public candle command via explicit arguments.csv mapping.
ka10083,주식월봉차트조회요청,국내주식,차트,candles,stock-monthly,kiwoom candles stock-monthly,implemented,public,read,POST,/api/dostk/chart,stk_cd;base_dt;upd_stkpc_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public candle command via explicit arguments.csv mapping.
ka10084,당일전일체결요청,국내주식,종목정보,stocks,today-previous-trades,kiwoom stocks today-previous-trades,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd;tdy_pred;tic_min,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10085,계좌수익률요청,국내주식,계좌,accounts,return-rate,kiwoom accounts return-rate,implemented,guarded,account_read,POST,/api/dostk/acnt,stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping with account_read redaction; overseas accounts remain TODO until overseas runtime is verified.
ka10086,일별주가요청,국내주식,시세,quotes,daily-price,kiwoom quotes daily-price,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd;qry_dt;indc_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10087,시간외단일가요청,국내주식,시세,quotes,after-hours,kiwoom quotes after-hours,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10088,미체결 분할주문 상세,국내주식,계좌,orders,open-detail,kiwoom orders open-detail,implemented,guarded,account_read,POST,/api/dostk/acnt,ord_no,api-id;authorization,--account when account scoped; --code when instrument scoped,Implemented guarded order inquiry command via explicit arguments.csv mapping.
ka10094,주식년봉차트조회요청,국내주식,차트,candles,stock-yearly,kiwoom candles stock-yearly,implemented,public,read,POST,/api/dostk/chart,stk_cd;base_dt;upd_stkpc_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public candle command via explicit arguments.csv mapping.
ka10095,관심종목정보요청,국내주식,종목정보,stocks,watchlist-info,kiwoom stocks watchlist-info,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10098,시간외단일가등락율순위요청,국내주식,순위정보,rankings,after-hours-change-rate,kiwoom rankings after-hours-change-rate,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;sort_base;stk_cnd;trde_qty_cnd;crd_cnd;trde_prica,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10099,종목정보 리스트,국내주식,종목정보,stocks,info-list,kiwoom stocks info-list,implemented,public,read,POST,/api/dostk/stkinfo,mrkt_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10100,종목정보 조회,국내주식,종목정보,stocks,info-detail,kiwoom stocks info-detail,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
